category_id,product_name,image_path,status,source_url,note
CAT011,File lá A4 20 túi,products/file_la_a4_20_tui.png,DOWNLOADED,https://shopee.vn/File-Lá-Túi-Đựng-Tài-Liệu-A4-20-30-40-Lá-Màu-Pastel-In-Hình-Cute-Deli-Lưu-Tài-Liệu-Chứng-Từ-Hồ-Sơ-Đề-Thi-Học-Sinh-i.348955539.8602068755,"score=91; query=""File lá A4 20 túi"" chính hãng; title=File Lá Túi Đựng Tài Liệu A4 20 30 40 Lá Màu Pastel In Hình Cute Deli ...; reasons=+token:file;+token:tui;+brand:file;+brand:tui;+trusted:shopee.vn;+mid_token_ratio"
CAT012,Hạt mèo Whiskas cá ngừ 1.2kg,products/hat_meo_whiskas_ca_ngu_1_2kg.png,DOWNLOADED,https://www.bachhoaxanh.com/thuc-an-meo-whiskas-thuc-an-hat,"score=136; query=""Hạt mèo Whiskas cá ngừ 1.2kg"" bách hóa xanh; title=Thức ăn cho mèo Whiskas giá tốt tại Bách hóa XANH chính hãng giá tốt ...; reasons=+token:hat;+token:whiskas;+token:ngu;+token:2kg;+brand:hat;+brand:whiskas;+brand:ngu;+trusted:bachhoaxanh.com;+high_token_ratio"
CAT012,Hạt chó Pedigree vị bò 1.5kg,products/hat_cho_pedigree_vi_bo_1_5kg.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT012,Pate mèo Me-O cá ngừ 80g,products/pate_meo_me_o_ca_ngu_80g.png,DOWNLOADED,https://aeoneshop.com/product/3412/pate-cho-meo-ca-ngu-trang-&-tom,"score=113; query=""Pate mèo Me-O cá ngừ 80g"" ảnh sản phẩm; title=Pate Cho Mèo Meowow Cá Ngừ Trắng & Tôm 80g; reasons=+token:pate;+token:ngu;+token:80g;+brand:pate;+brand:ngu;+brand:80g;+trusted:aeoneshop.com;+mid_token_ratio"
CAT012,Cát vệ sinh mèo Min 5L,products/cat_ve_sinh_meo_min_5l.png,DOWNLOADED,https://mixasale.com/product/shopeevn/14598,"score=113; query=""Cát vệ sinh mèo Min 5L"" ảnh sản phẩm; title=CÁT MIN Cát vệ sinh cho mèo cát min 8L - MixASale; reasons=+token:cat;+token:sinh;+token:min;+brand:cat;+brand:sinh;+brand:min;+trusted:shopee.vn;+mid_token_ratio"
CAT012,Sữa tắm chó mèo Joyce Dolls 400ml,products/sua_tam_cho_meo_joyce_dolls_400ml.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT012,Snack thưởng mèo Ciao Churu 4 thanh,products/snack_thuong_meo_ciao_churu_4_thanh.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT012,Pate chó SmartHeart bò 130g,products/pate_cho_smartheart_bo_130g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT012,Vòng cổ chó mèo size M,products/vong_co_cho_meo_size_m.png,REJECT,https://shopee.vn/Vòng-Cổ-Cho-Chó-Mèo-Vòng-Cổ-Xịn-Có-Size-Cho-Chó-Lớn-giá-rẻ-LUPETVN-i.260323974.5746668987,"Điểm thấp, không lưu để tránh sai ảnh. score=69; query=""Vòng cổ chó mèo size M"" chính hãng; title=Vòng Cổ Cho Chó Mèo - Vòng Cổ Xịn Có Size Cho Chó Lớn giá rẻ LUPETVN ...; reasons=+token:vong;+brand:vong;+trusted:shopee.vn;+mid_token_ratio"
CAT013,Rau cải hữu cơ Vinamit 300g,products/rau_cai_huu_co_vinamit_300g.png,DOWNLOADED,https://aeoneshop.com/product/11606/rau-muong-huu-co,"score=126; query=""Rau cải hữu cơ Vinamit 300g"" ảnh sản phẩm; title=Rau Muống Hữu Cơ Vinamit 300g; reasons=+token:huu;+token:vinamit;+token:300g;+brand:huu;+brand:vinamit;+brand:300g;+trusted:aeoneshop.com;+high_token_ratio"
CAT013,Cà rốt hữu cơ Đà Lạt 500g,products/ca_rot_huu_co_da_lat_500g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT013,Yến mạch Quaker nguyên chất 400g,products/yen_mach_quaker_nguyen_chat_400g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT013,Hạt chia Úc Organic 250g,products/hat_chia_uc_organic_250g.png,DOWNLOADED,https://organicfoods.com.vn/products/hat-chia-organic-250g-uc,"score=136; query=""Hạt chia Úc Organic 250g"" ảnh sản phẩm; title=Hạt Chia Organic 250g (Úc); reasons=+token:hat;+token:chia;+token:organic;+token:250g;+brand:hat;+brand:chia;+brand:organic;+trusted:product.hstatic.net;+high_token_ratio"
CAT013,Gạo lứt hữu cơ Hoa Sữa 1kg,products/gao_lut_huu_co_hoa_sua_1kg.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT013,Mật ong hoa nhãn nguyên chất 500ml,products/mat_ong_hoa_nhan_nguyen_chat_500ml.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT013,Bột cacao nguyên chất 200g,products/bot_cacao_nguyen_chat_200g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT013,Hạnh nhân rang bơ 250g,products/hanh_nhan_rang_bo_250g.png,DOWNLOADED,https://tecki.vn/p1.296778982.10677822146-hanh-nhan-rang-bo-vo-mong-hang-moi-thom-ngon-nhap-khau-my-by-queen-nuts,"score=126; query=""Hạnh nhân rang bơ 250g"" ảnh sản phẩm; title=Mua Hạnh nhân rang bơ vỏ mỏng Hàng mới thơm ngon Nhập khẩu Mỹ by Queen ...; reasons=+token:hanh;+token:nhan;+token:rang;+brand:hanh;+brand:nhan;+brand:rang;+trusted:shopee.vn;+high_token_ratio"
CAT014,Cá hộp Ba Cô Gái sốt cà 155g,products/ca_hop_ba_co_gai_sot_ca_155g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT014,Thịt hộp Spam Classic 340g,products/thit_hop_spam_classic_340g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT014,Pate gan Vissan hộp 170g,products/pate_gan_vissan_hop_170g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT014,Cháo ăn liền Gấu Đỏ thịt bằm 50g,products/chao_an_lien_gau_do_thit_bam_50g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT014,Mì ly Modern lẩu Thái 65g,products/mi_ly_modern_lau_thai_65g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
